,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
456,-148.8390776,57.18544643,1,MDO1,MDO1,8/1/2018 10:01,213,17744.41808,2018,2,8/1/2018 7:01,8/1/2018 13:02,-191.5773915,152.1716474,-5.98,1,456,-148.3055947,287482.134,0.532147055,0.61414358,7801.708026,0,13.46999931,0.229999989,12.906,0.563999313,0.959852746,1,0.959852746,17744.41785,8,12.25999928,-5.05,0.948447361,TRUE
591,-147.6319372,57.25966875,1,MDO1,MDO1,8/1/2018 21:56,213,17744.91419,2018,1,8/1/2018 13:03,8/2/2018 6:50,212.595705,-163.1897211,-5.5,2,91,-36.32844798,141910.3069,0.40644714,3.259881606,725.5391659,0,13.31999969,0.189999998,12.906,0.413999695,0.975105463,1,0.975105463,17744.91448,8,12.34999943,-4.85,0.940423904,TRUE
1228,-146.7010241,57.59954169,1,MDO1,MDO1,8/2/2018 9:53,214,17745.41082,2018,2,8/2/2018 6:57,8/2/2018 12:49,243.5311262,-62.68332019,-6.33,3,228,-144.5217378,50845.30187,0.334842056,1.173812113,721.9398136,0,12.64999962,0.239999995,13.413,-0.763000381,0.948498362,1,0.948498362,17745.41187,8,12.13000011,-5.115,0.882361216,TRUE
1557,-145.9409381,57.30863908,1,MDO1,MDO1,8/2/2018 21:50,214,17745.90908,2018,1,8/2/2018 12:52,8/3/2018 6:47,166.4551769,-54.99997624,-6.04,4,57,96.54671541,234869.634,0.372560475,5.556668547,704.4677698,0,12.09999943,0.179999992,13.413,-1.313000572,0.924019502,1,0.924019502,17745.90973,8,12.21999931,-5.24,0.886492802,TRUE
2232,-146.8277273,57.33395437,1,MDO1,MDO1,8/3/2018 9:53,215,17746.41251,2018,2,8/3/2018 6:49,8/3/2018 12:57,85.48758426,-145.0902821,-6.03,5,232,-53.16493051,123467.387,0.310394358,2.832376853,726.5240083,0,13.68999958,0.229999989,13.283,0.40699958,0.962402738,1,0.962402738,17746.41217,8,13.13000011,-4.95,0.943177677,TRUE
2857,-146.7823732,57.5376673,1,MDO1,MDO1,8/3/2018 21:53,215,17746.91296,2018,1,8/3/2018 13:08,8/4/2018 6:38,517.9379883,-682.4469234,-4.94,6,357,22.94560644,206459.2793,0.208795938,4.815384376,714.5822058,0,13.69999981,0.239999995,13.283,0.416999809,0.9595996,0.868047715,0.83297824,17746.91201,8,12.94999981,-5.115,0.938755486,TRUE
3137,-146.2945423,57.61785151,1,MDO1,MDO1,8/4/2018 9:51,216,17747.40649,2018,2,8/4/2018 6:45,8/4/2018 12:57,-227.5636363,942.3976791,-5.91,7,137,78.80080654,53929.91288,0.127921555,1.25462492,716.4148159,0,13.73999977,0.149999991,12.955,0.784999771,0.966844469,1,0.966844469,17747.41062,8,13.27999973,-5.67,0.942053792,TRUE
3606,-145.9490943,57.98781829,1,MDO1,MDO1,8/4/2018 21:49,216,17747.90815,2018,1,8/4/2018 12:43,8/5/2018 6:56,138.1567239,117.9299751,-6.85,8,106,41.19082166,182278.0626,0.202844335,4.267801193,711.8344019,0,13.77999973,0.129999995,12.955,0.824999733,0.969551957,1,0.969551957,17747.90963,8,13.50999928,-5.89,0.944242533,TRUE
4457,-148.159608,57.6335869,1,MDO1,MDO1,8/5/2018 9:58,217,17748.41805,2018,2,8/5/2018 6:49,8/5/2018 13:07,-256.7387583,-142.7746085,-5.86,9,457,-95.16449241,178737.6242,0.401327135,4.070320439,731.8736811,0,11.2699995,0.140000001,13.352,-2.082000496,0.844221624,1,0.844221624,17748.41574,8,12.14999962,-4.925,0.890845682,TRUE
4535,-147.9783501,57.48939485,1,MDO1,MDO1,8/5/2018 21:57,217,17748.91622,2018,1,8/5/2018 13:08,8/6/2018 6:47,-74.5744868,-102.2894785,-5.91,10,35,-32.42338232,170273.8606,0.451708659,3.908757794,726.0356938,0,11.44999981,0.140000001,13.352,-1.902000191,0.867028016,1,0.867028016,17748.9152,8,12.21499968,-4.98,0.916033894,TRUE
5316,-147.8956452,57.76525975,1,MDO1,MDO1,8/6/2018 9:57,218,17749.415,2018,2,8/6/2018 6:45,8/6/2018 13:09,-198.9384647,186.5141733,-5.72,11,316,166.5988973,89084.71528,0.430860425,2.06628382,718.5582349,0,11.88999939,0.170000002,13.1,-1.21000061,0.935048011,1,0.935048011,17749.41493,8,12.30999994,-5.23,0.949220429,TRUE
5772,-146.7926521,57.5501753,1,MDO1,MDO1,8/6/2018 21:53,218,17749.9117,2018,1,8/6/2018 13:05,8/7/2018 6:40,-42.87811542,64.25092829,-5.94,12,272,164.6994698,251218.8316,0.562392243,5.851707166,715.5143632,0,11.96999931,0.129999995,13.1,-1.130000687,0.948183821,1,0.948183821,17749.91182,8,12.57999992,-4.925,0.95273569,TRUE
6180,-147.022119,57.37395709,1,MDO1,MDO1,8/7/2018 9:53,219,17750.41344,2018,2,8/7/2018 6:32,8/7/2018 13:15,-417.057464,240.443427,-5.31,13,180,-0.321026026,235954.7524,0.385160812,5.461699416,720.0284942,0,13.56999969,0.140000001,12.542,1.027999695,0.956236549,1,0.956236549,17750.41242,8,13.1449995,-5.01,0.952376832,TRUE
6697,-147.2620043,57.32737306,1,MDO1,MDO1,8/7/2018 21:54,219,17750.91328,2018,1,8/7/2018 13:18,8/8/2018 6:31,405.0706546,-445.2496934,-5.29,14,197,-14.07792094,220026.3533,0.456698806,5.068632998,723.4901184,0,13.47999954,0.140000001,12.542,0.937999542,0.959907668,1,0.959907668,17750.91304,8,13.17999935,-5.035,0.955772762,TRUE
7461,-146.1830476,57.75476478,1,MDO1,MDO1,8/8/2018 9:50,220,17751.40953,2018,2,8/8/2018 6:39,8/8/2018 13:01,49.91971536,32.46593368,-6.36,15,461,-10.78458056,244149.5303,0.57543169,5.628127311,723.0040497,0,14.17999935,0.119999997,12.903,1.276999352,0.937978841,1,0.937978841,17751.41,8,13.57999992,-5.435,0.959677181,TRUE
7584,-147.1300524,58.1305049,1,MDO1,MDO1,8/8/2018 21:54,220,17751.9149,2018,1,8/8/2018 13:05,8/9/2018 6:42,310.1218236,-710.1984993,-6.15,16,84,-38.24384131,59749.38456,0.380114468,1.378410685,722.4429461,0,13.46000004,0.119999997,12.903,0.557000038,0.985698821,1,0.985698821,17751.91259,8,13.42499971,-5.935,0.961640438,TRUE
8416,-147.4414506,58.69531375,1,MDO1,MDO1,8/9/2018 9:55,221,17752.41303,2018,2,8/9/2018 6:55,8/9/2018 12:54,90.27478697,-25.14011376,-6.99,17,416,34.75487242,143499.9315,0.23932527,3.348321481,714.2879018,0,12.96000004,0.109999999,12.475,0.485000038,0.991150979,1,0.991150979,17752.4134,8,13.52499962,-6.05,0.939084848,TRUE
8830,-147.7956668,59.0850883,1,MDO1,MDO1,8/9/2018 21:56,221,17752.91643,2018,1,8/9/2018 12:59,8/10/2018 6:53,284.1194771,-645.873524,-6.51,18,330,-151.5261939,86572.27675,0.310898057,1.996206487,722.8066276,0,12.92000008,0.119999997,12.475,0.445000076,0.989864654,1,0.989864654,17752.91434,8,13.56499958,-6.145,0.937719052,TRUE
9247,-147.8377241,59.34674342,1,MDO1,MDO1,8/10/2018 9:56,222,17753.41512,2018,2,8/10/2018 6:58,8/10/2018 12:54,-312.0342125,188.4272036,-6.93,19,247,81.88141438,136216.2024,0.365105747,3.195562417,710.4445925,0,13.39999962,0.119999997,13.643,-0.243000381,0.995047945,1,0.995047945,17753.4144,8,13.75999928,-6.28,0.985729675,TRUE
9775,-145.1509207,58.68830854,1,MDO1,MDO1,8/10/2018 21:45,222,17753.90127,2018,1,8/10/2018 13:05,8/11/2018 6:26,840.6728522,128.8877331,-5.55,20,275,68.50388833,230684.3324,0.301951845,5.452657839,705.1128068,0,14.00999928,0.119999997,13.643,0.366999275,0.99222352,1,0.99222352,17753.90689,8,13.93499947,-4.975,0.979000576,TRUE
10299,-146.5989302,58.18798098,1,MDO1,MDO1,8/11/2018 9:51,223,17754.41169,2018,2,8/11/2018 6:15,8/11/2018 13:27,-527.7841868,382.8799937,-4.34,21,299,5.453737954,100912.8338,0.381162818,2.338318731,719.2691659,0,13.63999939,0.140000001,12.58,1.05999939,0.951249535,1,0.951249535,17754.41085,8,13.69999981,-4.285,0.935856311,TRUE
10993,-146.4026938,57.67366689,1,MDO1,MDO1,8/11/2018 21:50,223,17754.90995,2018,1,8/11/2018 13:18,8/12/2018 6:23,-183.8124659,234.8891488,-5.69,22,493,20.59422432,418322.8162,0.443199398,9.818964286,710.0593031,0,13.90999985,0.140000001,12.58,1.329999847,0.92870378,0.366541582,0.340408553,17754.91025,8,13.68999958,-4.42,0.937583371,TRUE
11451,-147.4293339,57.30927121,1,MDO1,MDO1,8/12/2018 9:54,224,17755.41466,2018,2,8/12/2018 6:12,8/12/2018 13:37,-416.9755359,137.3595099,-4.48,23,451,-153.5918404,283567.3725,0.341355174,6.489382617,728.2854399,0,13.69999981,0.340000004,12.596,1.103999809,0.905466373,0.998088213,0.903735315,17755.41304,8,13.21999931,-3.955,0.90086446,TRUE
11830,-147.6332631,57.37098002,1,MDO1,MDO1,8/12/2018 21:55,224,17755.91425,2018,1,8/12/2018 13:35,8/13/2018 6:15,51.59029004,-172.5547014,-4.82,24,330,28.77931312,114604.7136,0.318373665,2.66679266,716.2456188,0,13.59000015,0.329999983,12.596,0.994000153,0.914686793,1,0.914686793,17755.91355,8,12.94999981,-4.25,0.908453319,TRUE
12334,-146.9624289,57.01593385,1,MDO1,MDO1,8/13/2018 9:52,225,17756.41101,2018,2,8/13/2018 6:19,8/13/2018 13:25,108.3557599,-1.318326378,-5.96,25,334,84.27326249,115997.2405,0.351607127,2.714102526,712.3118319,0,13.21000004,0.170000002,12.912,0.298000038,0.980583531,1,0.980583531,17756.41163,8,13.10999966,-4.81,0.958640272,TRUE
