,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
28,-148.1025523,58.26219382,0,,,7/30/2018 9:58,211,17742.41666,2018,2,7/30/2018 7:19,7/30/2018 12:38,-111.2070291,-22.84882558,-6.49,1,28,-140.640603,163005.0229,0.675666321,0.427238174,6358.866201,0,11.88999939,0.179999992,12.417,-0.52700061,0.966788613,1,0.966788613,17742.41588,7,12.22999954,-5.5,0.935160375,TRUE
574,-147.8214302,58.31136911,0,,,7/30/2018 21:57,211,17742.91536,2018,1,7/30/2018 12:41,7/31/2018 7:14,128.0090679,-176.7235687,-6.27,2,74,156.7850716,114298.6092,0.335011193,2.65723163,716.9028091,0,11.63999939,0.189999998,12.417,-0.77700061,0.949978766,1,0.949978766,17742.91508,7,12.14999962,-5.64,0.929882076,TRUE
1088,-146.8361053,58.6614166,0,,,7/31/2018 9:53,212,17743.41161,2018,2,7/31/2018 7:07,7/31/2018 12:39,-575.5079993,699.0864748,-5.89,3,88,77.45226704,152644.268,0.413725214,3.584689109,709.7048185,0,11.81999969,0.239999995,12.167,-0.347000305,0.956619645,1,0.956619645,17743.41233,7,12.23999977,-5.8,0.935161746,TRUE
1907,-145.1299636,58.60777007,0,,,7/31/2018 21:46,212,17743.90634,2018,1,7/31/2018 12:30,8/1/2018 7:03,112.0097389,101.1264303,-6.29,4,407,112.7365995,64560.03731,0.383737477,1.503057394,715.8746072,0,10.93999958,0.189999998,12.167,-1.22700042,0.91513434,1,0.91513434,17743.90757,7,12,-5.48,0.939196371,TRUE
2485,-146.8532809,58.30729314,0,,,8/1/2018 9:53,213,17744.41357,2018,2,8/1/2018 6:59,8/1/2018 12:48,-176.4673041,-35.86180637,-5.67,5,485,-24.99777582,277693.2991,0.266839451,6.357655007,727.9762188,0,11.01000023,0.209999993,11.261,-0.250999771,0.970497503,0.502530108,0.487704215,17744.41234,8,12.02999973,-4.9,0.920713007,TRUE
2971,-144.1658267,58.01553117,0,,,8/1/2018 21:42,213,17744.89438,2018,1,8/1/2018 13:22,8/2/2018 6:03,2019.410195,-209.5778227,-1.7,6,471,56.04440427,196358.2318,0.240574233,4.616221486,708.9428457,0,10.93999958,0.179999992,11.261,-0.32100042,0.977425818,1,0.977425818,17744.90485,8,11.5199995,-1.79,0.870053381,TRUE
3256,-145.3269958,56.30382241,1,MDO1,MDO1,8/2/2018 9:47,214,17745.40826,2018,2,8/2/2018 6:00,8/2/2018 13:34,-351.1188212,314.1642348,-2.12,7,256,-177.0210854,132148.6266,0.513201201,3.057257758,720.4093616,0,13.18999958,0.229999989,12.1505,1.03949958,0.922749346,1,0.922749346,17745.40805,8,12.30999947,-2.055,0.935937323,TRUE
3739,-149.0987568,56.1008065,1,MDO1,MDO1,8/2/2018 22:02,214,17745.92389,2018,1,8/2/2018 13:30,8/3/2018 6:34,104.5053056,-1035.661318,-4.37,8,239,-144.7209576,225582.0607,0.411692138,5.162040144,728.3362598,0,11.80000019,0.349999994,12.1505,-0.350499809,0.929601302,1,0.929601302,17745.9185,8,11.76499939,-4,0.892250637,TRUE
4042,-148.5066925,56.23380183,1,MDO1,MDO1,8/3/2018 10:00,215,17746.41174,2018,2,8/3/2018 6:45,8/3/2018 13:15,-375.149089,1255.089465,-5.77,9,42,120.6224402,165248.9913,0.143746344,3.874786934,710.7874321,0,12.50999928,0.289999992,12.818,-0.308000725,0.949665842,0.765570886,0.727036521,17746.41683,8,11.98999977,-5.67,0.873403794,TRUE
4505,-148.2664612,56.26732506,1,MDO1,MDO1,8/3/2018 21:59,215,17746.91191,2018,1,8/3/2018 13:20,8/4/2018 6:38,1574.575394,-844.9510353,-5.23,10,5,-164.4210784,99079.88585,0.077665791,2.288193811,721.6746338,0,12.18999958,0.209999993,12.818,-0.62800042,0.953428459,1,0.953428459,17746.91613,8,12.48999977,-5.975,0.916457059,TRUE
