,lon,lat,CP_Site,SiteType,BroadSiteType,dtime,doy,jday,year,type,tFirst,tSecond,tFirst.err,tSecond.err,sun.elev,step,iteration,bearing,distance,frac.timedry,speed,timediff,sat.ice,sat.sst,sat.sst.err,tag.sst,sst.diff,wsst,wspeed,wrel,jday2,month,median.sat.sst,median.sun.elev,median.wrel,optional
137,-146.1623393,59.32831877,1,MDO1,MDO1,7/23/2018 9:51,204,17735.41081,2018,2,7/23/2018 7:50,7/23/2018 11:51,36.24627043,-86.07918303,-6.9,1,137,130.2641414,13350.80276,1,0.018372602,12111.15245,0,12.75,0.209999993,NA,NA,0,1,1,17735.41052,7,12.90999985,-6.14,1,TRUE
605,-145.5977751,59.14151529,1,MDO1,MDO1,7/23/2018 21:48,204,17735.9088,2018,1,7/23/2018 11:56,7/24/2018 7:41,214.9630236,-186.225229,-6.71,2,105,143.7815369,22601.39772,1,0.523850772,719.0787575,0,12.86999989,0.25999999,NA,NA,0,1,1,17735.90896,7,12.96000004,-6.15,1,TRUE
1282,-146.4561251,59.18573379,1,MDO1,MDO1,7/24/2018 9:52,205,17736.4119,2018,2,7/24/2018 7:41,7/24/2018 12:03,-177.0597301,83.2981185,-6.56,3,282,-77.11769915,26336.32558,1,0.608110418,721.8076629,0,13,0.379999995,NA,NA,0,1,1,17736.41135,7,13.02999973,-5.945,1,TRUE
1771,-145.153226,58.99372796,1,MDO1,MDO1,7/24/2018 21:47,205,17736.90669,2018,1,7/24/2018 12:10,7/25/2018 7:23,544.554926,-362.8598071,-5.94,4,271,-2.901154494,311499.0851,1,7.199590028,721.1037571,0,13.03999996,0.379999995,NA,NA,0,1,1,17736.90774,7,13.00999928,-5.75,1,TRUE
2289,-146.1086732,58.59638417,1,MDO1,MDO1,7/25/2018 9:50,206,17737.41053,2018,2,7/25/2018 7:24,7/25/2018 12:17,-332.8050305,309.6990521,-6.13,5,289,93.28922674,242818.3224,1,5.754108596,703.318676,0,13.60999966,0.409999996,NA,NA,0,1,1,17737.4104,7,13.27999973,-5.73,1,TRUE
2530,-145.9241274,58.69293801,1,MDO1,MDO1,7/25/2018 21:50,206,17737.90907,2018,1,7/25/2018 12:11,7/26/2018 7:29,-79.00764867,219.4647896,-6.57,6,30,-143.7794598,94194.81675,0.646272586,2.168863001,723.8417602,0,13.59999943,0.389999986,NA,NA,0,1,1,17737.90989,7,13.27999973,-5.65,1,TRUE
3159,-147.8800911,58.20952983,1,MDO1,MDO1,7/26/2018 9:58,207,17738.41602,2018,2,7/26/2018 7:22,7/26/2018 12:33,-154.946832,34.41214366,-6.02,7,159,-51.76617791,159070.1461,0.477801331,3.639196338,728.5040034,0,11.92000008,0.319999993,11.859,0.061000076,0.946826819,1,0.946826819,17738.41532,7,12.53999996,-5.33,0.926590219,TRUE
3632,-145.2680414,57.53464071,1,MDO1,MDO1,7/26/2018 21:47,207,17738.90743,2018,1,7/26/2018 12:35,7/27/2018 7:00,146.6320418,-37.30228855,-5.65,8,132,118.1602506,253171.5503,0.496159527,5.984420939,705.0850669,0,13.61999989,0.239999995,11.859,1.760999886,0.871780721,1,0.871780721,17738.90806,7,13.0449996,-4.7,0.893253841,TRUE
4143,-145.0190612,57.64098322,1,MDO1,MDO1,7/27/2018 9:46,208,17739.40706,2018,2,7/27/2018 7:03,7/27/2018 12:29,165.6637939,-112.1527104,-6.04,9,143,52.73086807,187214.559,0.506223118,4.394608191,710.0161183,0,13.79999924,0.299999982,12.875,0.924999237,0.928318929,1,0.928318929,17739.40737,7,13.02999973,-5.05,0.946643345,TRUE
4826,-146.7613467,58.25109616,1,MDO1,MDO1,7/27/2018 21:53,208,17739.91363,2018,1,7/27/2018 12:31,7/28/2018 7:15,-29.30033629,-217.6819354,-6.12,10,326,-24.446985,302735.8447,0.511097509,6.925763806,728.5257702,0,13.07999992,0.399999976,12.875,0.204999924,0.929455415,1,0.929455415,17739.9122,7,12.78499985,-5.43,0.932903819,TRUE
