Tag,Sex,SexPC1,SexPC2,SexPC3,SexPC4,SexPC5,BodyCondition,MDO2.PC1,Mod2.PC2,Mod2.PC3,Mod2.PC4,Mod2.PC5,TrackNumber,Year,MDO_Departure,MDO_Departure_DOY,Num_Fall_Sites,Days_to_Winter_Site,Weekly_Fall_Dist_km,CumulativeDistToWinter_m,StraightDistMDOtoWinter,Mean_Residency_Dist_to_Winter_withSTOPS_m,Winter_Arrival,Winter_Arrival_DOY,Winter_Departure,Winter_Departure_DOY,Winter_Num_Days,Mean_Winter_Lat,Mean_Winter_Lon,Num_Spring_Sites,Days_to_Breeding_Site,Weekly_Spring_Dist_km,CumulativeDistToMDO_m,Mean_Residency_Dist_to_MDO_withSTOPS_m,MDO_Arrival,MDO_Arrival_DOY,Notes
BT142,M,-0.754692168,-0.205130264,0.784537268,-0.46440598,-0.232280109,27.49483735,0.271764729,0.288099682,-0.980709222,-0.028693382,0.077214291,1,2019/2020,9/17/2019,260,1,41,561.4008,10147972.31,400004.6304,610566.2,10/28/2019,301,3/3/2020,63,127,56.31537,-142.8914,1,57,554.032,17402310.88,681954.9,4/29/2020,120,
BT143,F,-0.219542039,-0.277922436,0.057243549,-0.442273279,-0.008110428,28.24550973,-0.407043145,-0.279403487,0.174535237,-0.258648518,0.270285022,1,2019/2020,9/2/2019,245,2,78,803.7446,16352038.9,351664.4202,506020,11/19/2019,323,,,,56.33232,-144.9673,,,,,,,,no winter departure- tag failed early
BT144,F,2.547253501,-0.079583298,-0.242474638,0.699641504,-0.381017506,-19.01741925,-3.109162266,-0.241523479,-0.321258187,0.153292992,-0.729142186,1,2019/2020,8/27/2019,239,1,75,714.5461,16505658.39,482630.5738,488033,11/10/2019,314,2/26/2020,57,108,56.15913,-140.9444,1,61,914.4808,17361500.63,1172010.3,4/27/2020,118,
BT145,F,0.00179371,-0.686046,-0.636179255,0.395930763,0.022865349,-44.9384793,-0.644787603,-0.552822474,-0.719326041,0.341600049,-0.102563758,1,2019/2020,9/12/2019,255,1,33,358.1291,5491452.982,561261.8785,440966.9,10/15/2019,288,2/19/2020,50,127,54.47984,-144.3661,2,70,1253.256,15298056.62,1301030.2,4/29/2020,120,
BT146,M,0.538252349,1.369465685,0.449233237,-1.569244513,0.207285479,-36.90511102,0.735797235,-1.19055734,-0.745082068,-1.435932697,-0.464709215,1,2019/2020,8/25/2019,237,1,53,410.3854,17494028.15,902644.0343,928934.9,10/17/2019,290,2/28/2020,59,134,53.14852,-137.0093,2,72,1654.813,16697478.91,2055223.7,5/10/2020,131,
BT147_yr1,F,2.728234928,0.227681099,-0.781668111,0.092922652,-0.139052675,73.98467752,-3.35609293,0.010967386,-0.722565401,-0.281794405,-0.155101207,1,2019/2020,8/16/2019,228,4,86,902.3107,23314332.22,993980.4531,1129641.9,11/10/2019,314,1/20/2020,20,71,52.45606,-136.2782,3,99,998.7517,25413996.44,1168913.8,4/28/2020,119,first year of 2-year deployment
BT147_yr2,F,2.728234928,0.227681099,-0.781668111,0.092922652,-0.139052675,73.98467752,-3.35609293,0.010967386,-0.722565401,-0.281794405,-0.155101207,2,2020/2021,9/10/2020,254,3,76,1067.364,14308475.2,357535.5706,958967.8,11/25/2020,330,2/13/2021,44,80,56.83393,-142.6958,3,77,1152.19,16355406.1,1279686.7,5/1/2021,121,2nd year of 2-year deployment
BT149,F,1.653022288,0.543456888,-0.326585381,1.092261851,0.37375655,-39.35671831,-2.302565719,0.55562845,-0.42005529,0.84036885,-0.301070568,1,2019/2020,8/30/2019,242,2,57,1537.907,22066697.61,533368.0756,1033709.7,10/26/2019,299,3/14/2020,74,140,55.30132,-141.7504,1,46,691.2098,13966959.87,1250304.6,4/29/2020,120,
BT150,F,-0.659061921,-2.088377057,-1.421378354,0.274650339,-0.423444258,-28.60120613,0.0296788,-1.840157358,-1.620088651,0.125852109,-0.285062103,1,2019/2020,8/30/2019,242,3,81,1542.686,22153686.18,375222.2585,1079190.1,11/19/2019,323,3/22/2020,82,124,56.03664,-146.1555,1,29,448.6426,6911655.15,633995.1,4/20/2020,111,
BT154,M,-0.078962562,-0.132126675,1.742081975,-0.405100096,1.164876673,-13.64574794,0.821724527,-0.248620912,-1.513061813,0.434186975,-1.226638577,1,2019/2020,9/7/2019,250,0,1,158.7019,,382304.6782,103467.5,9/8/2019,251,3/11/2020,71,185,56.0033,-145.4684,1,48,668.7146,15042255.21,844725,4/28/2020,119,
BT155,F,0.179778147,1.06582232,-0.112916182,0.413072539,-1.204119297,-6.299597223,-0.725691724,1.048894001,-0.089576462,-0.645730431,-1.14558993,1,2019/2020,8/26/2019,238,2,50,496.7468,15652304.99,851704.1782,935482.3,10/15/2019,288,3/12/2020,72,149,53.69052,-137.0766,1,47,920.8946,11634684.76,1236228,4/28/2020,119,
BT156,M,0.458285981,-0.761414042,2.155581647,0.590584784,0.047091317,-5.521581597,1.654807335,-0.102268815,-1.646809009,1.152519655,-0.110950127,1,2019/2020,9/8/2019,251,0,0,119.4004,,516003.2023,357314.4,9/8/2019,251,12/17/2019,351,100,55.17402,-142.8341,2,127,3069.311,53809549.14,1360669.7,4/22/2020,113,
BT157,M,2.094970962,1.370178778,0.501344764,-0.169325491,-0.068225078,2.146817914,2.164831249,-1.891041835,-0.202521345,-0.639076029,-0.040237495,1,2019/2020,9/8/2019,251,1,21,336.2608,8455429.453,731715.2691,797543.5,9/29/2019,272,4/12/2020,103,196,54.00425,-139.4954,0,18,376.5478,4953849.695,632151.3,4/30/2020,121,
BT158,M,-2.289273613,-0.992100815,0.222247196,1.075795448,1.976910439,27.88622795,-0.882961358,1.253317564,-0.020404928,1.8536695,-1.645250525,1,2019/2020,9/9/2019,252,1,51,738.0463,14674883.2,296730.0677,393994.5,10/30/2019,303,3/6/2020,66,128,56.81182,-145.1795,1,54,575.555,14212468.35,742436.9,4/29/2020,120,
BT159,M,-0.034313159,1.019895266,0.745350758,0.567107103,-0.278313696,-15.66195461,0.575697419,-1.043287746,-0.449031937,0.386755472,0.281715733,1,2019/2020,9/8/2019,251,1,36,326.5845,13011599.25,359930.7207,638603.2,10/14/2019,287,2/21/2020,52,130,56.72026,-142.9346,2,75,1008.662,19154082.53,1207357.7,5/6/2020,127,
BT160,M,-0.695398924,0.315242931,-0.235971444,-0.906135894,0.274786814,-31.82396821,-0.008689885,0.103570149,-0.18495466,-0.681943975,-0.392366361,1,2019/2020,9/10/2019,253,2,36,297.9269,8448694.301,774362.5601,761902.7,10/16/2019,289,4/3/2020,94,170,52.92127,-141.8003,1,24,701.6275,20612063.3,1208154.6,4/27/2020,118,
YVH215,M,0.393306052,-1.319967642,-0.494252643,1.128236629,-0.149133639,28.66087183,1.54706958,0.837351613,0.615687052,0.904242876,0.25351181,1,2018/2019,8/18/2018,230,2,25,550.68,11756025.77,545576.5244,916739,9/12/2018,255,2/28/2019,59,169,55.06471,-142.1293,2,57,733.9759,16664073.06,800555.6,4/26/2019,116,
